,accuracy,loss,val_accuracy,val_loss
0,0.44932273030281067,2.03090238571167,0.6419535279273987,1.3150728940963745
1,0.7316786646842957,0.977618396282196,0.7555163502693176,0.9354218244552612
2,0.8151033520698547,0.657294511795044,0.7886142730712891,0.7967204451560974
3,0.8601041436195374,0.4902489483356476,0.8064136505126953,0.7572131156921387
4,0.8878797292709351,0.3908090889453888,0.8111209273338318,0.7474170327186584
5,0.908393383026123,0.31677567958831787,0.820976734161377,0.7746129035949707
6,0.9222909212112427,0.2699071764945984,0.8277434706687927,0.7755641937255859
7,0.935777485370636,0.2221052050590515,0.8281847834587097,0.8353209495544434
8,0.9438615441322327,0.19824974238872528,0.8311268091201782,0.8710163235664368
9,0.9474827647209167,0.1800893396139145,0.8292144536972046,0.9271847009658813
10,0.9523371458053589,0.16677963733673096,0.8371579647064209,0.9235271215438843
11,0.9579940438270569,0.1475369781255722,0.8327448964118958,0.9248831868171692
12,0.9607539772987366,0.13602307438850403,0.8395116329193115,0.9430698752403259
13,0.9666262269020081,0.11955095082521439,0.836569607257843,0.995577871799469
14,0.9710695147514343,0.1019437238574028,0.8384819030761719,1.0318936109542847
15,0.9708737730979919,0.10352005064487457,0.841129720211029,1.0243459939956665
16,0.969327449798584,0.1057111993432045,0.8392174243927002,1.094506859779358
17,0.9654126167297363,0.11667671799659729,0.8402471542358398,1.0572391748428345
18,0.9769613146781921,0.08471376448869705,0.8405413627624512,1.0872845649719238
19,0.9796429872512817,0.0756186693906784,0.8403942584991455,1.1477965116500854
